,code,update_time,last_price,prev_close_price,suspension,circular_market_val,total_market_val,wrt_maturity_date,wrt_end_trade,wrt_code,wrt_recovery_price,wrt_street_vol,wrt_issue_vol,wrt_street_ratio,wrt_delta,wrt_implied_volatility,wrt_premium,lot_size,net_profit,earning_per_share,outstanding_shares,net_asset_per_share,pe_ratio,pb_ratio,price_spread,name
1,SH.600012,2018-06-05 14:02:05,7.75,7.73,False,9033400000.0,12854227500.0,,,,,,,,,,,100,1066486230.0,0.643,1165600000,1.522032704,12.052,1.332,0.01,皖通高速
4,SH.600094,2018-06-05 14:01:41,5.94,5.96,False,13523033474.28,14703430838.580002,,,,,,,,,,,100,1170828751.961,0.473,2276604962,0.514032704,12.558,1.235,0.01,大名城
6,SH.600190,2018-06-05 14:02:02,3.61,3.6,False,6423939153.3,7228272315.0,,,,,,,,,,,100,146167279.5,0.073,1779484530,-1.264967296,49.452,1.191,0.01,锦州港
7,SH.600272,2018-06-05 14:01:38,9.13,9.07,False,1460800000.0000002,2218590000.0,,,,,,,,,,,100,41067000.0,0.169,160000000,2.068,54.023,4.414,0.01,开开实业
8,SH.600295,2018-06-05 14:02:05,10.17,10.09,False,6224040000.0,10495440000.0,,,,,,,,,,,100,618168000.0,0.599,612000000,-0.787934592,16.978,1.303,0.01,鄂尔多斯
9,SH.600329,2018-06-05 14:02:05,20.65,19.73,False,11683110769.4,15877229019.4,,,,,,,,,,,100,515913833.996,0.671,565768076,1.731032704,30.774,3.426,0.01,中新药业
12,SH.600548,2018-06-05 14:02:05,8.68,8.64,False,12440786429.68,18929086429.68,,,,,,,,,,,100,1474200740.376,0.676,1433270326,-2.126934592,12.84,1.343,0.01,深高速
13,SH.600555,2018-06-05 14:02:05,5.09,5.15,False,4955115000.0,6634815000.0,,,,,,,,,,,100,119922000.0,0.092,973500000,1.218,55.326,4.178,0.01,海航创新
17,SH.600611,2018-06-05 14:02:05,4.65,4.66,False,7269421092.6,10993171317.6,,,,,,,,,,,100,843991862.448,0.357,1563316364,-0.465967296,13.025,1.214,0.01,大众交通
21,SH.600775,2018-06-05 14:02:02,6.63,6.5,False,4454289447.2699995,6058749447.2699995,,,,,,,,,,,100,123368201.415,0.135,671838529,-0.584967296,49.111,1.787,0.01,南京熊猫
22,SH.600776,2018-06-05 14:02:05,5.88,5.82,False,5621280376.32,7385280376.32,,,,,,,,,,,100,120576006.144,0.096,956000064,-1.872967296,61.25,2.427,0.01,东方通信
26,SH.600874,2018-06-05 14:02:05,11.22,11.1,False,12198702984.6,16013502984.6,,,,,,,,,,,100,498102722.07,0.349,1087228430,-0.512967296,32.148,2.966,0.01,创业环保
